User,spot_danceability,spot_energy,spot_loudness,spot_speechiness,spot_acousticness,spot_instrumentalness,spot_liveness,spot_valence,Class
5,0.252,0.896,-3.232,0.0616,0.000535,0.000227,0.105,0.479,angry_at_work_while_working
5,0.503,0.958,-4.899,0.0912,0.0005,0.0743,0.159,0.265,angry_at_work_while_working
5,0.44,0.83,-5.415,0.0373,0.00349,0.00303,0.263,0.368,angry_at_work_while_working
5,0.508,0.761,-4.049,0.0473,0.000453,1.26e-05,0.0816,0.707,angry_at_work_while_working
5,0.438,0.959,-4.871,0.168,1.95e-05,5.16e-05,0.27,0.348,angry_at_work_while_working
5,0.777,0.712,-4.84,0.277,0.217,0,0.091,0.68,bored_at_work_while_working
5,0.714,0.944,-3.498,0.12,0.0217,2.78e-06,0.116,0.572,bored_at_work_while_working
5,0.663,0.92,-4.07,0.226,0.00431,1.69e-05,0.101,0.533,bored_at_work_while_working
5,0.782,0.791,-6.038,0.102,0.144,0,0.169,0.896,bored_at_work_while_working
5,0.837,0.784,-4.531,0.101,0.175,0,0.0897,0.748,bored_at_work_while_working
5,0.74,0.74,-3.647,0.0686,0.205,0,0.107,0.717,bored_at_work_while_working
5,0.719,0.842,-3.562,0.0383,0.132,0,0.105,0.534,bored_at_work_while_working
5,0.837,0.791,-3.157,0.0773,0.252,1.14e-06,0.188,0.618,bored_at_work_while_working
6,0.457,0.297,-12.511,0.0306,0.686,0.000107,0.109,0.333,calm_at_work_while_working
6,0.626,0.134,-14.898,0.0298,0.467,0,0.113,0.239,calm_at_work_while_working
6,0.579,0.508,-9.484,0.027,0.00574,0.000494,0.0575,0.609,calm_at_work_while_working
6,0.252,0.802,-3.976,0.0391,0.13,0.0146,0.309,0.253,calm_at_work_while_working
6,0.547,0.62,-9.823,0.0309,0.0564,2.49e-05,0.0937,0.426,calm_at_work_while_working
6,0.363,0.824,-2.752,0.12,0.378,0,0.175,0.616,calm_at_work_while_working
6,0.558,0.364,-11.258,0.0265,0.0505,5.02e-06,0.0753,0.17,calm_at_work_while_working
6,0.565,0.564,-10.044,0.0292,0.161,0,0.114,0.454,calm_at_work_while_working
6,0.338,0.34,-12.049,0.0339,0.58,0.0032,0.116,0.197,calm_at_work_while_working
6,0.503,0.56,-12.044,0.03,0.0382,0,0.059,0.548,calm_at_work_while_working
6,0.73,0.868,-7.325,0.0288,0.0632,0.0661,0.318,0.923,calm_at_work_while_working
6,0.601,0.859,-5.263,0.0276,0.000359,0.00124,0.0871,0.446,calm_at_work_while_working
6,0.511,0.972,-3.751,0.0413,5.36e-06,0.00101,0.19,0.532,peaceful_at_home_while_amusing
6,0.539,0.597,-9.581,0.0258,0.0108,0.00552,0.134,0.251,peaceful_at_home_while_amusing
6,0.48,0.536,-11.166,0.0427,0.488,4.22e-05,0.155,0.581,peaceful_at_home_while_amusing
6,0.564,0.932,-10.068,0.0554,0.013,0.169,0.349,0.619,peaceful_at_home_while_amusing
6,0.437,0.864,-7.842,0.0904,0.396,0.0314,0.242,0.749,peaceful_at_home_while_amusing
6,0.317,0.887,-7.292,0.0375,0.000582,0.00258,0.0891,0.871,peaceful_at_home_while_amusing
6,0.549,0.722,-11.729,0.0283,0.25,0.0138,0.11,0.716,peaceful_at_home_while_amusing
6,0.521,0.721,-7.699,0.0254,0.00348,0.0113,0.391,0.611,peaceful_at_home_while_amusing
6,0.475,0.898,-9.129,0.0505,0.00232,0,0.201,0.802,peaceful_at_home_while_amusing
6,0.504,0.911,-2.97,0.0738,0.00512,0.0123,0.355,0.671,peaceful_at_home_while_amusing
6,0.31,0.7,-5.678,0.047,0.011,0.00965,0.0828,0.763,peaceful_at_home_while_amusing
6,0.532,0.767,-5.509,0.0574,0.00287,0.000513,0.39,0.755,peaceful_at_home_while_amusing
6,0.308,0.866,-5.671,0.059,0.000739,0.00141,0.232,0.227,calm_at_home_while_amusing
6,0.313,0.882,-6.215,0.0355,0.0346,0.338,0.45,0.3,calm_at_home_while_amusing
6,0.314,0.959,-4.657,0.0908,0.0263,0.000148,0.161,0.492,calm_at_home_while_amusing
6,0.3,0.936,-5.399,0.0456,0.0337,0.021,0.158,0.756,calm_at_home_while_amusing
6,0.249,0.943,-5.188,0.0669,0.0286,0.00401,0.162,0.458,calm_at_home_while_amusing
6,0.285,0.908,-4.601,0.0705,0.0318,0.00909,0.311,0.669,calm_at_home_while_amusing
6,0.446,0.97,-5.004,0.0508,0.00754,0.000275,0.199,0.595,calm_at_home_while_amusing
6,0.579,0.824,-8.71,0.03,0.00206,0.00903,0.059,0.635,calm_at_home_while_amusing
6,0.632,0.845,-6.336,0.0333,0.000773,0.00152,0.0618,0.433,calm_at_home_while_amusing
6,0.435,0.853,-7.341,0.124,5.31e-05,0.00746,0.13,0.475,calm_at_home_while_amusing
6,0.539,0.828,-9.108,0.035,0.00067,0.421,0.154,0.562,calm_at_home_while_amusing
6,0.554,0.816,-7.871,0.0353,0.000526,0.000711,0.0988,0.362,calm_at_home_while_amusing
6,0.439,0.963,-5.508,0.277,0.0364,0.00896,0.0784,0.435,calm_at_home_while_amusing
6,0.501,0.889,-5.175,0.0364,0.000147,0.0114,0.217,0.257,calm_at_home_while_amusing
6,0.573,0.913,-4.793,0.132,0.0591,0.00173,0.156,0.422,calm_at_home_while_amusing
6,0.389,0.873,-4.768,0.0475,0.00532,0.0055,0.273,0.303,calm_at_home_while_amusing
6,0.646,0.619,-4.468,0.159,0.157,0.294,0.119,0.564,calm_at_home_while_amusing
6,0.317,0.981,-7.102,0.174,0.00242,0.00677,0.0852,0.234,calm_at_home_while_amusing
6,0.257,0.983,-4.664,0.0651,0.00504,0.00697,0.315,0.468,calm_at_home_while_amusing
6,0.378,0.953,-4.969,0.0527,5.18e-05,0.000695,0.303,0.268,calm_at_home_while_amusing
6,0.415,0.658,-12.051,0.0696,4.52e-05,0.000735,0.176,0.45,calm_at_home_while_amusing
6,0.112,0.906,-3.983,0.0703,8.24e-05,0.000974,0.262,0.452,calm_at_home_while_amusing
6,0.113,0.951,-4.743,0.129,0.00176,0.00718,0.334,0.139,calm_at_home_while_amusing
6,0.439,0.734,-12.168,0.097,0.262,0.333,0.244,0.54,excited_at_outdoor_while_driving
6,0.459,0.727,-11.777,0.0303,0.00614,0.065,0.384,0.954,excited_at_outdoor_while_driving
6,0.465,0.865,-9.573,0.098,0.018,0.00135,0.0769,0.677,excited_at_outdoor_while_driving
6,0.632,0.586,-11.333,0.0284,0.0983,0.581,0.0535,0.89,excited_at_outdoor_while_driving
6,0.742,0.833,-6.463,0.115,0.079,0,0.384,0.816,excited_at_outdoor_while_driving
6,0.448,0.936,-6.3,0.0589,0.00705,0.245,0.128,0.536,excited_at_outdoor_while_driving
6,0.66,0.778,-6.163,0.0583,0.00377,0.000856,0.373,0.758,excited_at_outdoor_while_driving
7,0.632,0.586,-11.333,0.0284,0.0983,0.581,0.0535,0.89,relaxed_at_work_while_working
7,0.671,0.711,-7.813,0.0478,0.422,0,0.104,0.466,relaxed_at_outdoor_while_amusing
7,0.532,0.767,-5.509,0.0574,0.00287,0.000513,0.39,0.755,relaxed_at_work_while_other
7,0.763,0.822,-2.578,0.066,0.101,0.000131,0.077,0.567,happy_at_work_while_working
7,0.442,0.52,-8.648,0.0261,0.184,0,0.154,0.177,relaxed_at_work_while_working
7,0.372,0.865,-4.918,0.0381,0.000453,0,0.234,0.478,relaxed_at_work_while_working
7,0.444,0.339,-13.156,0.0273,0.477,0.00664,0.112,0.297,relaxed_at_work_while_working
7,0.569,0.668,-6.109,0.0266,0.134,0.00408,0.0855,0.714,relaxed_at_home_while_working
7,0.513,0.625,-4.822,0.0436,0.592,3.94e-05,0.12,0.408,relaxed_at_home_while_amusing
